V1,Breast_pvalue,reject,fdr_pvalue
NF1,0.017439203916122,False,0.07692094023310216
NF2,0.44952838365955,False,0.4624955485728062
NFKB1,0.196299444197098,False,0.25666851970374116
NFKB2,0.0094725895629267,False,0.062055127544887165
NFKBIA,0.0002593672136146,True,0.0128087500877364
NFKBIB,0.232381046640034,False,0.2856373862318659
NFKBIE,1.9621513058672e-06,True,0.0012597011383667423
NFKBIZ,0.0513869909772587,False,0.1205337011832092
NGF,0.136512224408404,False,0.20572969030562294
NGFR,0.255111394572872,False,0.30217991755679674
NHP2,0.0380276354285754,False,0.10802540683692659
NME4,0.280837631346823,False,0.3202446879656489
NOD1,0.0846930583118494,False,0.16039216352863514
NOP10,0.494762143575545,False,0.5041861844055554
NOS3,0.0096367747077848,False,0.06249302386260447
NOXA,0.193083434362898,False,0.25535971102325183
NPM1,0.0002557520877028,True,0.0128087500877364
NR4A3,0.0044466966541462,True,0.04905084168315166
NRAS,0.0077702136370773,False,0.05668724039776849
NRG1,0.0665326982599297,False,0.13978407923208555
NRP1,0.0580896434148754,False,0.12823493026691432
NRP2,0.0923070269525287,False,0.16646379579641413
NTHL1,0.202865364891751,False,0.2606191833963361
OGDH,0.0064914820221413,False,0.052811410143894344
OGG1,0.0442899359122319,False,0.11331978138338403
PAK1,0.000128126233753,True,0.011939509352781874
PAK4,0.17827429581981,False,0.24299808474802126
PARP1,0.012902239071978,False,0.06845650813396592
PARP2,0.147383812218763,False,0.21717078161542774
PARP3,0.0052248508932347,False,0.05082354959782845
PAX8,0.0406695720070081,False,0.11215140379288077
PC,0.179631833235221,False,0.24432973927333027
PCK1,0.348441899577163,False,0.37787111406847745
PCK2,0.0166327306876385,False,0.07692094023310216
PCNA,0.089181405687544,False,0.16499845086859724
PDHA1,0.0037457989469637,True,0.04453338748056843
PDHB,0.0154729035921485,False,0.07692094023310216
PDK1,0.231522859402117,False,0.2856373862318659
PDK2,0.000450540446316,True,0.0192831311023248
PDK3,0.105369071920566,False,0.17708624129058476
PDK4,0.0572834004625818,False,0.12823493026691432
PDP2,0.0707107018551407,False,0.14508393013327386
PDPR,0.0108572085766128,False,0.06328948786118203
PEA15,0.333418107706717,False,0.36465830519201414
PECAM1,0.145938128313182,False,0.21637939578998347
PFKL,0.0916817795477277,False,0.16627034595943838
PFN1,0.0025389292943244,True,0.03622205793236144
PGF,0.134851387734336,False,0.20370491982457342
PGK1,0.0001763015771824,True,0.011939509352781874
